fonte,origem_tipo,pais,titulo,tipo,fase_produto,categoria,valor,score,ano,link,origem
PBH,municipal,Brasil,Edital - acesse,edital,não identificado,inovacao,,42,2026,https://prefeitura.pbh.gov.br/sites/default/files/estrutura-de-governo/administracao-logistica-e-patrimonial/transparencia/pregao-97004-2026-materiais-aph-smsp.pdf,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,municipal,Brasil,Edital - acesse,edital,producao,inovacao,,42,2025,https://prefeitura.pbh.gov.br/sites/default/files/estrutura-de-governo/administracao-logistica-e-patrimonial/transparencia/pe-97067-2025-producao-editorial-map-smc.pdf,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,municipal,Brasil,Edital - acesse,edital,não identificado,inovacao,,42,2025,https://prefeitura.pbh.gov.br/sites/default/files/estrutura-de-governo/administracao-logistica-e-patrimonial/transparencia/pe_97066-2025-servicos_desinsetizacao.pdf,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,municipal,Brasil,Edital - acesse,edital,não identificado,inovacao,,42,2025,https://prefeitura.pbh.gov.br/sites/default/files/estrutura-de-governo/administracao-logistica-e-patrimonial/transparencia/edital_pe_97065-2025-equip_ginastica.pdf,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,municipal,Brasil,Edital - acesse,edital,não identificado,inovacao,,42,,https://prefeitura.pbh.gov.br/sites/default/files/estrutura-de-governo/administracao-logistica-e-patrimonial/transparencia/smalog_pe_97064-2025r.p-material_hidraulico.pdf,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,municipal,Brasil,Edital - acesse,edital,não identificado,inovacao,,42,2025,https://prefeitura.pbh.gov.br/sites/default/files/estrutura-de-governo/administracao-logistica-e-patrimonial/transparencia/smalog_editalpe97062-2025-equipamentos.pdf,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,municipal,Brasil,Edital - acesse,edital,não identificado,inovacao,,42,2025,https://prefeitura.pbh.gov.br/sites/default/files/estrutura-de-governo/administracao-logistica-e-patrimonial/transparencia/edital-pe-97059-2025-artigos_escritorio.pdf,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,municipal,Brasil,Edital - acesse,edital,não identificado,inovacao,,42,,https://prefeitura.pbh.gov.br/sites/default/files/estrutura-de-governo/administracao-logistica-e-patrimonial/transparencia/smalog_editalpe_97058-2025_papelaria.pdf,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,municipal,Brasil,Edital - acesse,edital,não identificado,inovacao,,42,2025,https://prefeitura.pbh.gov.br/sites/default/files/estrutura-de-governo/administracao-logistica-e-patrimonial/transparencia/pe-97057-2025-espargidores-smsp-1.pdf,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,municipal,Brasil,Edital - acesse,edital,não identificado,inovacao,,42,,https://prefeitura.pbh.gov.br/sites/default/files/estrutura-de-governo/administracao-logistica-e-patrimonial/transparencia/edital_pe_97056-2025_brinq_pedagogicos_ii.pdf,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,municipal,Brasil,Edital - acesse,edital,não identificado,inovacao,,42,2025,https://prefeitura.pbh.gov.br/sites/default/files/estrutura-de-governo/administracao-logistica-e-patrimonial/transparencia/edital-pe_97055-2025-brinq_pedagogicos.pdf,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,municipal,Brasil,Edital - acesse,edital,não identificado,inovacao,,42,2025,https://prefeitura.pbh.gov.br/sites/default/files/estrutura-de-governo/administracao-logistica-e-patrimonial/transparencia/edital-pe-97054-2025.pdf,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,municipal,Brasil,Edital - acesse,edital,não identificado,inovacao,,42,2025,https://prefeitura.pbh.gov.br/sites/default/files/estrutura-de-governo/administracao-logistica-e-patrimonial/transparencia/edital_pe97053-2025-utensilhos_inox.pdf,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,municipal,Brasil,Edital - acesse,edital,não identificado,inovacao,,42,2025,https://prefeitura.pbh.gov.br/sites/default/files/estrutura-de-governo/administracao-logistica-e-patrimonial/transparencia/edital-pe_97052-2025-eletrodomesticos.pdf,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,municipal,Brasil,Edital - acesse,edital,não identificado,inovacao,,42,2025,https://prefeitura.pbh.gov.br/sites/default/files/estrutura-de-governo/administracao-logistica-e-patrimonial/transparencia/edital_pe-97051-2025.pdf,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,municipal,Brasil,Edital - acesse,edital,não identificado,inovacao,,42,2025,https://prefeitura.pbh.gov.br/sites/default/files/estrutura-de-governo/administracao-logistica-e-patrimonial/transparencia/pe97049-2025-r.p-mobiliario_escolar_smed.pdf,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,municipal,Brasil,Edital - acesse,edital,não identificado,inovacao,,42,,https://prefeitura.pbh.gov.br/sites/default/files/estrutura-de-governo/administracao-logistica-e-patrimonial/transparencia/pe_97045-2025_edital.pdf,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,municipal,Brasil,Edital - acesse,edital,não identificado,inovacao,,42,2025,https://prefeitura.pbh.gov.br/sites/default/files/estrutura-de-governo/administracao-logistica-e-patrimonial/transparencia/pe_97044-2025-edital.pdf,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,municipal,Brasil,Edital - acesse,edital,não identificado,inovacao,,42,2025,https://prefeitura.pbh.gov.br/sites/default/files/estrutura-de-governo/administracao-logistica-e-patrimonial/transparencia/pe_97043-2025-r.p-refrigerador_e_bebedouro.pdf,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
